,pkts,bytes,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,_peer_ip
50,2,228,0,5.269050598144531e-05,5.269050598144531e-05,0.0,5.269050598144531e-05,5.269050598144531e-05,5.269050598144531e-05,1,1,174,54,37957.50226244344,18978.75113122172,18978.75113122172,157.205.64.82
51,2,228,0,2.288818359375e-05,2.288818359375e-05,0.0,2.288818359375e-05,2.288818359375e-05,2.288818359375e-05,1,1,174,54,87381.33333333333,43690.666666666664,43690.666666666664,82.225.205.199
52,2,228,0,4.100799560546875e-05,4.100799560546875e-05,0.0,4.100799560546875e-05,4.100799560546875e-05,4.100799560546875e-05,1,1,174,54,48770.976744186046,24385.488372093023,24385.488372093023,1.144.17.238
53,2,228,0,2.9802322387695312e-05,2.9802322387695312e-05,0.0,2.9802322387695312e-05,2.9802322387695312e-05,2.9802322387695312e-05,1,1,174,54,67108.864,33554.432,33554.432,254.33.223.216
54,2,228,0,3.218650817871094e-05,3.218650817871094e-05,0.0,3.218650817871094e-05,3.218650817871094e-05,3.218650817871094e-05,1,1,174,54,62137.83703703704,31068.91851851852,31068.91851851852,187.148.93.142
55,2,228,0,3.4809112548828125e-05,3.4809112548828125e-05,0.0,3.4809112548828125e-05,3.4809112548828125e-05,3.4809112548828125e-05,1,1,174,54,57456.21917808219,28728.109589041094,28728.109589041094,205.157.111.86
56,2,228,0,3.743171691894531e-05,3.743171691894531e-05,0.0,3.743171691894531e-05,3.743171691894531e-05,3.743171691894531e-05,1,1,174,54,53430.62420382166,26715.31210191083,26715.31210191083,242.227.98.154
57,2,228,0,1.3828277587890625e-05,1.3828277587890625e-05,0.0,1.3828277587890625e-05,1.3828277587890625e-05,1.3828277587890625e-05,1,1,174,54,144631.1724137931,72315.58620689655,72315.58620689655,123.156.63.244
58,2,228,0,1.6927719116210938e-05,1.6927719116210938e-05,0.0,1.6927719116210938e-05,1.6927719116210938e-05,1.6927719116210938e-05,1,1,174,54,118149.40845070423,59074.704225352114,59074.704225352114,2.111.163.1
59,2,228,0,1.9788742065429688e-05,1.9788742065429688e-05,0.0,1.9788742065429688e-05,1.9788742065429688e-05,1.9788742065429688e-05,1,1,174,54,101067.56626506025,50533.78313253012,50533.78313253012,85.227.173.181
60,2,228,0,2.2649765014648438e-05,2.2649765014648438e-05,0.0,2.2649765014648438e-05,2.2649765014648438e-05,2.2649765014648438e-05,1,1,174,54,88301.13684210526,44150.56842105263,44150.56842105263,179.135.57.24
61,2,228,0,2.5272369384765625e-05,2.5272369384765625e-05,0.0,2.5272369384765625e-05,2.5272369384765625e-05,2.5272369384765625e-05,1,1,174,54,79137.81132075471,39568.90566037736,39568.90566037736,156.115.221.142
62,2,228,0,7.414817810058594e-05,7.414817810058594e-05,0.0,7.414817810058594e-05,7.414817810058594e-05,7.414817810058594e-05,1,1,174,54,26973.016077170418,13486.508038585209,13486.508038585209,182.111.230.227
63,2,228,0,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,3.0517578125e-05,3.0517578125e-05,1,1,174,54,65536.0,32768.0,32768.0,255.191.205.34
64,2,228,0,3.314018249511719e-05,3.314018249511719e-05,0.0,3.314018249511719e-05,3.314018249511719e-05,3.314018249511719e-05,1,1,174,54,60349.69784172662,30174.84892086331,30174.84892086331,5.25.203.181
65,2,228,0,2.1219253540039062e-05,2.1219253540039062e-05,0.0,2.1219253540039062e-05,2.1219253540039062e-05,2.1219253540039062e-05,1,1,174,54,94254.02247191011,47127.011235955055,47127.011235955055,108.46.182.47
66,2,228,0,7.867813110351562e-06,7.867813110351562e-06,0.0,7.867813110351562e-06,7.867813110351562e-06,7.867813110351562e-06,1,1,174,54,254200.24242424243,127100.12121212122,127100.12121212122,198.187.173.73
67,2,228,0,4.673004150390625e-05,4.673004150390625e-05,0.0,4.673004150390625e-05,4.673004150390625e-05,4.673004150390625e-05,1,1,174,54,42799.02040816326,21399.51020408163,21399.51020408163,59.17.223.63
68,2,228,0,5.269050598144531e-05,5.269050598144531e-05,0.0,5.269050598144531e-05,5.269050598144531e-05,5.269050598144531e-05,1,1,174,54,37957.50226244344,18978.75113122172,18978.75113122172,21.22.194.226
69,2,228,0,4.291534423828125e-06,4.291534423828125e-06,0.0,4.291534423828125e-06,4.291534423828125e-06,4.291534423828125e-06,1,1,174,54,466033.77777777775,233016.88888888888,233016.88888888888,145.4.171.72
70,2,228,0,1.3589859008789062e-05,1.3589859008789062e-05,0.0,1.3589859008789062e-05,1.3589859008789062e-05,1.3589859008789062e-05,1,1,174,54,147168.56140350876,73584.28070175438,73584.28070175438,142.111.81.111
71,2,228,0,1.6927719116210938e-05,1.6927719116210938e-05,0.0,1.6927719116210938e-05,1.6927719116210938e-05,1.6927719116210938e-05,1,1,174,54,118149.40845070423,59074.704225352114,59074.704225352114,182.173.72.200
72,2,228,0,1.5020370483398438e-05,1.5020370483398438e-05,0.0,1.5020370483398438e-05,1.5020370483398438e-05,1.5020370483398438e-05,1,1,174,54,133152.50793650793,66576.25396825396,66576.25396825396,110.4.165.61
73,2,228,0,2.7894973754882812e-05,2.7894973754882812e-05,0.0,2.7894973754882812e-05,2.7894973754882812e-05,2.7894973754882812e-05,1,1,174,54,71697.50427350428,35848.75213675214,35848.75213675214,2.28.198.186
74,2,228,0,5.984306335449219e-05,5.984306335449219e-05,0.0,5.984306335449219e-05,5.984306335449219e-05,5.984306335449219e-05,1,1,174,54,33420.74900398406,16710.37450199203,16710.37450199203,76.2.33.76
75,2,228,0,6.699562072753906e-05,6.699562072753906e-05,0.0,6.699562072753906e-05,6.699562072753906e-05,6.699562072753906e-05,1,1,174,54,29852.697508896796,14926.348754448398,14926.348754448398,78.58.82.65
76,2,228,0,5.435943603515625e-05,5.435943603515625e-05,0.0,5.435943603515625e-05,5.435943603515625e-05,5.435943603515625e-05,1,1,174,54,36792.14035087719,18396.070175438595,18396.070175438595,72.156.219.98
77,2,228,0,1.33514404296875e-05,1.33514404296875e-05,0.0,1.33514404296875e-05,1.33514404296875e-05,1.33514404296875e-05,1,1,174,54,149796.57142857142,74898.28571428571,74898.28571428571,193.186.34.237
78,2,228,0,1.621246337890625e-05,1.621246337890625e-05,0.0,1.621246337890625e-05,1.621246337890625e-05,1.621246337890625e-05,1,1,174,54,123361.88235294117,61680.94117647059,61680.94117647059,201.233.157.33
79,2,228,0,1.9073486328125e-05,1.9073486328125e-05,0.0,1.9073486328125e-05,1.9073486328125e-05,1.9073486328125e-05,1,1,174,54,104857.6,52428.8,52428.8,203.118.52.242
80,2,228,0,2.1696090698242188e-05,2.1696090698242188e-05,0.0,2.1696090698242188e-05,2.1696090698242188e-05,2.1696090698242188e-05,1,1,174,54,92182.5054945055,46091.25274725275,46091.25274725275,191.222.232.193
81,2,228,0,3.0040740966796875e-05,3.0040740966796875e-05,0.0,3.0040740966796875e-05,3.0040740966796875e-05,3.0040740966796875e-05,1,1,174,54,66576.25396825396,33288.12698412698,33288.12698412698,196.89.66.33
82,2,228,0,1.3589859008789062e-05,1.3589859008789062e-05,0.0,1.3589859008789062e-05,1.3589859008789062e-05,1.3589859008789062e-05,1,1,174,54,147168.56140350876,73584.28070175438,73584.28070175438,82.18.110.2
83,2,228,0,2.7179718017578125e-05,2.7179718017578125e-05,0.0,2.7179718017578125e-05,2.7179718017578125e-05,2.7179718017578125e-05,1,1,174,54,73584.28070175438,36792.14035087719,36792.14035087719,76.57.134.196
84,2,228,0,2.5272369384765625e-05,2.5272369384765625e-05,0.0,2.5272369384765625e-05,2.5272369384765625e-05,2.5272369384765625e-05,1,1,174,54,79137.81132075471,39568.90566037736,39568.90566037736,98.17.184.163
85,2,228,0,3.0517578125e-05,3.0517578125e-05,0.0,3.0517578125e-05,3.0517578125e-05,3.0517578125e-05,1,1,174,54,65536.0,32768.0,32768.0,2.48.47.205
86,2,228,0,3.552436828613281e-05,3.552436828613281e-05,0.0,3.552436828613281e-05,3.552436828613281e-05,3.552436828613281e-05,1,1,174,54,56299.38255033557,28149.691275167785,28149.691275167785,10.3.18.62
87,2,228,0,4.124641418457031e-05,4.124641418457031e-05,0.0,4.124641418457031e-05,4.124641418457031e-05,4.124641418457031e-05,1,1,174,54,48489.06358381503,24244.531791907513,24244.531791907513,115.48.10.241
88,2,228,0,5.245208740234375e-05,5.245208740234375e-05,0.0,5.245208740234375e-05,5.245208740234375e-05,5.245208740234375e-05,1,1,174,54,38130.03636363636,19065.01818181818,19065.01818181818,199.4.191.210
89,2,228,0,1.3113021850585938e-05,1.3113021850585938e-05,0.0,1.3113021850585938e-05,1.3113021850585938e-05,1.3113021850585938e-05,1,1,174,54,152520.14545454545,76260.07272727272,76260.07272727272,65.173.196.230
90,2,228,0,1.621246337890625e-05,1.621246337890625e-05,0.0,1.621246337890625e-05,1.621246337890625e-05,1.621246337890625e-05,1,1,174,54,123361.88235294117,61680.94117647059,61680.94117647059,96.253.111.108
91,2,228,0,1.6927719116210938e-05,1.6927719116210938e-05,0.0,1.6927719116210938e-05,1.6927719116210938e-05,1.6927719116210938e-05,1,1,174,54,118149.40845070423,59074.704225352114,59074.704225352114,205.117.111.173
92,2,228,0,2.0503997802734375e-05,2.0503997802734375e-05,0.0,2.0503997802734375e-05,2.0503997802734375e-05,2.0503997802734375e-05,1,1,174,54,97541.95348837209,48770.976744186046,48770.976744186046,163.22.62.4
93,2,228,0,2.384185791015625e-05,2.384185791015625e-05,0.0,2.384185791015625e-05,2.384185791015625e-05,2.384185791015625e-05,1,1,174,54,83886.08,41943.04,41943.04,165.46.18.2
94,2,228,0,1.9550323486328125e-05,1.9550323486328125e-05,0.0,1.9550323486328125e-05,1.9550323486328125e-05,1.9550323486328125e-05,1,1,174,54,102300.09756097561,51150.04878048781,51150.04878048781,145.34.142.36
95,2,228,0,4.506111145019531e-05,4.506111145019531e-05,0.0,4.506111145019531e-05,4.506111145019531e-05,4.506111145019531e-05,1,1,174,54,44384.16931216931,22192.084656084655,22192.084656084655,182.182.126.219
96,2,228,0,5.269050598144531e-05,5.269050598144531e-05,0.0,5.269050598144531e-05,5.269050598144531e-05,5.269050598144531e-05,1,1,174,54,37957.50226244344,18978.75113122172,18978.75113122172,203.36.44.63
97,2,228,0,5.91278076171875e-05,5.91278076171875e-05,0.0,5.91278076171875e-05,5.91278076171875e-05,5.91278076171875e-05,1,1,174,54,33825.032258064515,16912.516129032258,16912.516129032258,244.94.192.89
98,2,228,0,6.532669067382812e-05,6.532669067382812e-05,0.0,6.532669067382812e-05,6.532669067382812e-05,6.532669067382812e-05,1,1,174,54,30615.357664233576,15307.678832116788,15307.678832116788,255.145.221.77
99,2,228,0,7.176399230957031e-05,7.176399230957031e-05,0.0,7.176399230957031e-05,7.176399230957031e-05,7.176399230957031e-05,1,1,174,54,27869.129568106313,13934.564784053156,13934.564784053156,25.144.194.156
100,2,228,0,2.5987625122070312e-05,2.5987625122070312e-05,0.0,2.5987625122070312e-05,2.5987625122070312e-05,2.5987625122070312e-05,1,1,174,54,76959.70642201835,38479.85321100918,38479.85321100918,78.177.6.182
101,2,228,0,3.218650817871094e-05,3.218650817871094e-05,0.0,3.218650817871094e-05,3.218650817871094e-05,3.218650817871094e-05,1,1,174,54,62137.83703703704,31068.91851851852,31068.91851851852,114.171.224.25
102,2,228,0,3.8623809814453125e-05,3.8623809814453125e-05,0.0,3.8623809814453125e-05,3.8623809814453125e-05,3.8623809814453125e-05,1,1,174,54,51781.53086419753,25890.765432098764,25890.765432098764,34.94.145.245
103,2,228,0,4.506111145019531e-05,4.506111145019531e-05,0.0,4.506111145019531e-05,4.506111145019531e-05,4.506111145019531e-05,1,1,174,54,44384.16931216931,22192.084656084655,22192.084656084655,169.65.105.203
104,2,228,0,4.291534423828125e-05,4.291534423828125e-05,0.0,4.291534423828125e-05,4.291534423828125e-05,4.291534423828125e-05,1,1,174,54,46603.37777777778,23301.68888888889,23301.68888888889,154.73.194.246
105,2,228,0,5.841255187988281e-05,5.841255187988281e-05,0.0,5.841255187988281e-05,5.841255187988281e-05,5.841255187988281e-05,1,1,174,54,34239.216326530615,17119.608163265308,17119.608163265308,104.72.198.34
106,2,228,0,6.67572021484375e-05,6.67572021484375e-05,0.0,6.67572021484375e-05,6.67572021484375e-05,6.67572021484375e-05,1,1,174,54,29959.314285714285,14979.657142857142,14979.657142857142,242.241.111.73
107,2,228,0,7.43865966796875e-05,7.43865966796875e-05,0.0,7.43865966796875e-05,7.43865966796875e-05,7.43865966796875e-05,1,1,174,54,26886.5641025641,13443.28205128205,13443.28205128205,142.25.115.230
108,2,228,0,3.123283386230469e-05,3.123283386230469e-05,0.0,3.123283386230469e-05,3.123283386230469e-05,3.123283386230469e-05,1,1,174,54,64035.17557251908,32017.58778625954,32017.58778625954,246.111.115.224
109,2,228,0,3.814697265625e-05,3.814697265625e-05,0.0,3.814697265625e-05,3.814697265625e-05,3.814697265625e-05,1,1,174,54,52428.8,26214.4,26214.4,201.77.81.111
110,2,228,0,4.887580871582031e-05,4.887580871582031e-05,0.0,4.887580871582031e-05,4.887580871582031e-05,4.887580871582031e-05,1,1,174,54,40920.039024390244,20460.019512195122,20460.019512195122,118.250.203.144
111,2,228,0,5.5789947509765625e-05,5.5789947509765625e-05,0.0,5.5789947509765625e-05,5.5789947509765625e-05,5.5789947509765625e-05,1,1,174,54,35848.75213675214,17924.37606837607,17924.37606837607,221.193.2.28
112,2,228,0,6.151199340820312e-05,6.151199340820312e-05,0.0,6.151199340820312e-05,6.151199340820312e-05,6.151199340820312e-05,1,1,174,54,32513.98449612403,16256.992248062015,16256.992248062015,111.47.27.182
113,2,228,0,6.890296936035156e-05,6.890296936035156e-05,0.0,6.890296936035156e-05,6.890296936035156e-05,6.890296936035156e-05,1,1,174,54,29026.32525951557,14513.162629757786,14513.162629757786,142.22.104.72
114,2,228,0,7.534027099609375e-05,7.534027099609375e-05,0.0,7.534027099609375e-05,7.534027099609375e-05,7.534027099609375e-05,1,1,174,54,26546.227848101265,13273.113924050633,13273.113924050633,25.111.210.134
115,2,228,0,5.125999450683594e-05,5.125999450683594e-05,0.0,5.125999450683594e-05,5.125999450683594e-05,5.125999450683594e-05,1,1,174,54,39016.78139534884,19508.39069767442,19508.39069767442,196.65.105.62
116,2,228,0,3.0994415283203125e-05,3.0994415283203125e-05,0.0,3.0994415283203125e-05,3.0994415283203125e-05,3.0994415283203125e-05,1,1,174,54,64527.75384615385,32263.876923076925,32263.876923076925,9.72.123.18
117,2,228,0,3.4809112548828125e-05,3.4809112548828125e-05,0.0,3.4809112548828125e-05,3.4809112548828125e-05,3.4809112548828125e-05,1,1,174,54,57456.21917808219,28728.109589041094,28728.109589041094,242.34.135.203
118,2,228,0,3.910064697265625e-05,3.910064697265625e-05,0.0,3.910064697265625e-05,3.910064697265625e-05,3.910064697265625e-05,1,1,174,54,51150.04878048781,25575.024390243903,25575.024390243903,240.215.187.181
